id_produto,receita_total,prejuizo_total,percentual_prejuizo
1,17187280.35,154.70920000000115,9.001377579786853e-06
2,8862231.15,21.358768000000055,2.410089247107942e-06
3,4322136.25,2318.0922630000023,0.0005363302147173177
4,1915160.0,29.978054999999586,1.5653028989744765e-05
5,13494880.35,1091.0348699999995,8.084805805632797e-05
6,7663037.2,311.03670000000056,4.058921963735222e-05
7,7820196.45,0.0,0.0
8,2587770.15,383.46685199999956,0.0001481842782675268
9,22157655.25,7484.206816000005,0.0003377707041452414
10,13035840.25,4108.833332000002,0.00031519512767886227
11,22650384.0,0.0,0.0
12,1306660.2,121.13127500000019,9.270296516263386e-05
13,3774383.0,79.1911,2.098120408024305e-05
14,16947590.9,4244.328342000008,0.00025043844680012946
15,13966622.75,0.0,0.0
16,16048709.1,5827.868549999999,0.00036313628178356096
17,7076248.8,3235.716128000002,0.000457264324566994
18,15287126.05,0.0,0.0
19,7492328.0,40.36396000000059,5.387372255993142e-06
20,15922388.15,2128.6490159999994,0.0001336890544274289
21,3879456.5,1153.223066999999,0.000297264079903976
22,24705380.9,0.0,0.0
23,5987275.65,10521.799839999998,0.0017573601843436082
24,9471755.8,0.0,0.0
25,5770979.95,1531.3996610000013,0.00026536215240186397
26,10661130.65,216.53022000000055,2.031024917605719e-05
27,7882563.15,0.0,0.0
28,8486694.85,275.997945000001,3.252125236952534e-05
29,17804264.0,3928.2623999999996,0.000220636045387779
30,19077841.0,23768.074711999983,0.0012458471958121458
31,4660491.45,897.3324420000008,0.00019254030430631961
32,5661111.95,1435.5995200000016,0.00025358967154853767
33,4045248.6,5066.832254000004,0.0012525391527235196
34,2279524.75,685.0567339999989,0.000300526122385817
35,6692463.1,107.39085799999702,1.604653718598718e-05
36,12750576.4,0.0,0.0
37,3020509.0,386.0148399999998,0.00012779794398891042
38,10351595.7,4723.406442999993,0.000456297423111298
39,15493523.15,4837.810739000004,0.00031224729792978065
40,6858683.8,8086.72377600001,0.0011790489271425533
41,5067330.0,0.0,0.0
42,2810048.65,3355.021977999997,0.00119393732845159
43,12661193.95,11557.106843999994,0.0009127975520823606
44,5588763.3,0.0,0.0
45,5783276.45,0.0,0.0
46,2603273.2,944.426840000001,0.00036278437468645276
47,3184863.8,266.70240999999896,8.374060140342547e-05
48,9081279.75,2347.9678000000004,0.00025855032161078403
49,6730281.8,0.0,0.0
50,5603608.2,26.31388599999991,4.695882556528472e-06
51,36554590.25,5008.590724999987,0.00013701673827406634
52,7764053.75,2170.548096000006,0.00027956376474081026
53,26077998.75,1192.228415999998,4.57177879111601e-05
54,65859716.1,2725.3532100000157,4.138118673123183e-05
55,61224375.0,45731.39960400005,0.0007469475940587397
56,24550887.6,0.0,0.0
57,44148517.0,11165.272729999982,0.0002529025545750491
58,53378462.75,903.4301019999984,1.692499288020426e-05
59,36784114.4,0.0,0.0
60,53418532.0,0.0,0.0
61,17615312.85,744.9413400000049,4.2289418663376436e-05
62,44625014.1,36344.93911199999,0.0008144521597361241
63,68817185.9,5061.766843999998,7.355381911947663e-05
64,47495794.85,3491.5409280000167,7.351263283469434e-05
65,14137244.7,0.0,0.0
66,5470546.8,0.0,0.0
67,52820315.75,25265.34627699999,0.0004783263015045492
68,25675107.6,12073.364999999998,0.00047023619873748834
69,26249173.5,1063.7474100000109,4.052498681529957e-05
70,16629741.7,1334.210841,8.023040075240616e-05
71,81567066.65,4746.235012999998,5.818812920373663e-05
72,63057815.65,0.0,0.0
73,69554254.8,6334.042029000033,9.106620503969562e-05
74,59764356.15,5033.951925000001,8.423000345499416e-05
75,11927691.6,0.0,0.0
76,83539339.4,47236.538661,0.0005654406534725362
77,21004486.95,80.6391999999978,3.8391416173103816e-06
78,58043733.35,34440.457172000024,0.0005933535833115052
79,35699451.8,7710.572025000009,0.00021598572628501845
80,67332086.05,0.0,0.0
81,64195127.6,0.0,0.0
82,28700772.7,6111.188723999985,0.00021292767229225105
83,44377440.0,18701.59576099999,0.00042142123928284257
